age,job,marital,education,default,balance,housing,loan,last_contact_duration,campaign_contacs,passed _days,previous_contacts ,previous_marketing_outcome,successful_marketing
48,blue-collar,single,unknown,no,428,yes,no,127,1,,0,unknown,0
33,management,divorced,secondary,no,106,no,no,175,3,,0,unknown,0
44,technician,divorced,secondary,no,0,no,no,56,2,,0,unknown,0
55,management,married,tertiary,no,979,no,yes,123,1,,0,unknown,0
51,admin.,married,secondary,no,2662,no,no,148,2,,0,unknown,0
34,management,single,tertiary,no,84,no,no,231,1,,0,unknown,0
58,retired,divorced,unknown,no,5920,yes,no,255,1,,0,unknown,0
39,management,single,tertiary,no,816,yes,no,37,3,,0,unknown,0
27,unemployed,single,secondary,no,3276,no,no,106,1,110,2,other,0
55,management,divorced,unknown,no,2,yes,no,95,1,,0,unknown,0
35,technician,single,secondary,no,-51,no,no,134,2,,0,unknown,0
37,technician,single,tertiary,no,3315,yes,no,820,2,,0,unknown,0
52,technician,married,secondary,no,196,yes,yes,116,1,273,3,failure,0
41,blue-collar,married,secondary,no,552,yes,no,463,1,,0,unknown,0
52,admin.,married,secondary,no,2347,no,yes,603,3,,0,unknown,0
34,blue-collar,single,secondary,no,3723,yes,no,47,5,,0,unknown,0
53,management,divorced,primary,no,255,no,no,126,1,,0,unknown,0
33,management,single,tertiary,no,3143,no,no,421,2,,0,unknown,1
47,self-employed,married,secondary,no,0,no,no,174,8,,0,unknown,0
35,blue-collar,married,secondary,no,6411,yes,yes,144,1,266,2,failure,0
33,management,single,tertiary,no,1909,no,no,191,2,,0,unknown,0
55,blue-collar,married,primary,no,3873,no,no,222,1,,0,unknown,0
58,self-employed,married,primary,no,1013,yes,no,206,1,461,1,failure,1
44,admin.,married,secondary,no,262,yes,no,74,1,,0,unknown,0
25,services,single,secondary,no,3217,yes,no,24,1,,0,unknown,0
37,technician,single,secondary,no,5436,yes,no,7,11,351,1,failure,0
41,blue-collar,married,primary,no,2067,yes,no,493,7,,0,unknown,0
34,blue-collar,single,secondary,no,215,no,no,350,3,,0,unknown,1
36,services,divorced,secondary,no,1594,no,no,250,3,,0,unknown,0
44,self-employed,married,tertiary,no,134,no,no,86,4,,0,unknown,0
34,entrepreneur,divorced,tertiary,no,262,no,no,371,1,,0,unknown,0
56,blue-collar,divorced,primary,no,3021,no,no,419,2,,0,unknown,0
43,management,divorced,tertiary,no,388,yes,no,2087,2,,0,unknown,1
28,blue-collar,single,secondary,no,3412,yes,no,22,4,,0,unknown,0
54,blue-collar,married,secondary,no,1291,yes,no,266,1,,0,unknown,0
37,technician,divorced,secondary,no,79,no,no,191,1,,0,unknown,0
59,self-employed,married,tertiary,no,2013,no,no,222,4,94,2,success,1
58,blue-collar,divorced,secondary,no,543,no,yes,264,3,,0,unknown,0
56,management,divorced,tertiary,no,1016,yes,no,184,5,,0,unknown,0
32,blue-collar,single,secondary,no,604,no,yes,95,3,,0,unknown,0
42,management,single,tertiary,no,525,no,no,127,2,,0,unknown,0
52,retired,divorced,primary,no,353,no,no,395,4,,0,unknown,0
46,management,married,tertiary,no,964,yes,no,174,1,,0,unknown,0
37,admin.,married,tertiary,no,3913,yes,no,124,1,,0,unknown,1
39,blue-collar,married,primary,no,879,yes,no,102,2,,0,unknown,0
31,admin.,married,secondary,no,314,yes,no,279,1,,0,unknown,0
59,housemaid,married,primary,no,0,no,no,76,11,,0,unknown,0
38,blue-collar,married,secondary,no,1370,yes,no,472,2,,0,unknown,0
58,management,married,secondary,no,37,no,no,84,11,,0,unknown,0
34,management,single,tertiary,no,673,yes,yes,271,1,184,1,failure,0
40,services,married,secondary,no,-342,yes,no,754,1,,0,unknown,0
20,student,single,secondary,no,291,no,no,172,5,371,5,failure,0
34,technician,married,secondary,no,209,yes,yes,375,2,,0,unknown,0
31,technician,single,tertiary,no,438,yes,no,130,2,,0,unknown,0
39,admin.,single,secondary,no,1242,yes,no,303,3,,0,unknown,0
34,entrepreneur,married,tertiary,no,355,yes,no,261,1,,0,unknown,0
24,blue-collar,married,secondary,no,204,yes,yes,229,3,,0,unknown,0
41,management,married,tertiary,no,10758,yes,no,288,1,,0,unknown,0
40,management,married,tertiary,no,5,yes,no,219,3,,0,unknown,0
45,technician,single,secondary,no,410,yes,no,891,4,,0,unknown,1
36,management,married,tertiary,no,605,yes,no,204,1,,0,unknown,0
53,management,married,tertiary,no,4,no,no,19,6,,0,unknown,0
23,student,single,secondary,no,8494,no,no,158,2,,0,unknown,0
42,entrepreneur,married,primary,no,198,yes,no,314,1,,0,unknown,0
48,blue-collar,married,secondary,no,841,yes,no,215,1,,0,unknown,0
34,management,married,tertiary,no,8,no,no,169,4,,0,unknown,0
36,admin.,married,secondary,no,470,yes,no,101,4,,0,unknown,0
43,retired,married,secondary,no,520,yes,no,15,13,,0,unknown,0
36,blue-collar,married,secondary,no,439,yes,no,260,5,,0,unknown,0
49,blue-collar,married,secondary,no,-454,yes,no,558,1,,0,unknown,1
55,retired,married,secondary,no,466,no,no,287,4,,0,unknown,0
53,retired,married,secondary,no,665,yes,no,371,2,,0,unknown,1
42,technician,married,secondary,no,994,yes,no,149,1,78,5,failure,1
45,admin.,married,secondary,no,5346,yes,yes,187,1,,0,unknown,1
31,blue-collar,married,secondary,no,1243,yes,no,32,1,,0,unknown,0
32,admin.,married,tertiary,no,0,yes,no,138,1,,0,unknown,0
36,blue-collar,married,secondary,no,2357,yes,no,228,2,,0,unknown,0
56,retired,married,secondary,no,1044,no,no,353,2,,0,unknown,1
46,admin.,married,secondary,no,1069,yes,no,45,2,,0,unknown,0
41,housemaid,single,secondary,no,231,no,no,76,2,,0,unknown,0
31,admin.,married,secondary,no,0,yes,yes,144,2,,0,unknown,0
32,technician,married,secondary,no,266,yes,no,168,2,,0,unknown,0
38,management,married,tertiary,no,-70,yes,no,140,1,2,3,other,0
49,retired,single,primary,no,25824,no,no,94,1,,0,unknown,0
46,management,single,primary,no,538,no,no,118,3,,0,unknown,0
29,technician,single,secondary,no,534,yes,no,382,1,,0,unknown,0
36,admin.,married,unknown,no,2323,no,no,111,1,,0,unknown,0
38,admin.,married,secondary,no,1852,yes,no,298,2,,0,unknown,0
53,technician,married,secondary,no,2647,yes,no,121,1,,0,unknown,0
43,management,married,tertiary,no,2767,yes,no,317,7,,0,unknown,0
41,management,married,tertiary,no,176,yes,yes,42,1,,0,unknown,0
42,management,single,secondary,no,9720,no,no,81,2,,0,unknown,0
55,blue-collar,divorced,secondary,no,1613,yes,no,296,1,270,3,failure,1
39,admin.,divorced,secondary,no,2903,yes,yes,259,2,,0,unknown,0
30,admin.,single,secondary,no,81,yes,no,121,6,112,3,other,0
41,blue-collar,married,secondary,no,780,yes,no,432,3,,0,unknown,0
44,unemployed,married,tertiary,no,178,no,no,126,2,,0,unknown,0
58,management,married,tertiary,no,299,no,no,120,4,,0,unknown,0
35,retired,married,primary,no,285,yes,no,136,1,,0,unknown,0
27,blue-collar,married,secondary,no,872,yes,no,1130,3,,0,unknown,0
34,services,married,secondary,no,1337,no,no,330,2,127,3,success,1
25,services,married,secondary,no,72,yes,no,305,2,,0,unknown,0
36,blue-collar,married,secondary,no,0,no,no,332,3,,0,unknown,0
38,blue-collar,married,secondary,no,-388,yes,no,412,1,,0,unknown,0
30,admin.,married,secondary,no,11,yes,no,157,1,,0,unknown,0
47,blue-collar,divorced,secondary,yes,-535,yes,no,71,2,,0,unknown,0
41,services,divorced,secondary,no,787,yes,no,297,2,,0,unknown,0
36,management,single,tertiary,no,3343,no,no,307,1,,0,unknown,0
63,entrepreneur,married,secondary,no,3904,no,no,250,2,187,2,success,1
23,management,single,tertiary,no,736,yes,no,119,1,,0,unknown,0
32,management,married,tertiary,no,1390,no,no,116,2,,0,unknown,0
57,retired,married,primary,no,808,no,no,274,1,,0,unknown,0
48,management,married,tertiary,no,1147,no,no,389,1,64,2,success,1
49,services,married,secondary,no,1122,no,no,143,1,,0,unknown,0
50,technician,married,secondary,no,-568,yes,yes,860,2,,0,unknown,0
33,blue-collar,married,primary,no,1165,yes,no,420,2,,0,unknown,0
53,services,divorced,secondary,no,-905,yes,no,213,1,,0,unknown,0
30,unemployed,married,tertiary,no,0,yes,no,756,1,,0,unknown,0
38,technician,married,secondary,no,740,no,no,259,3,,0,unknown,0
44,management,married,secondary,no,8262,yes,no,201,16,,0,unknown,0
39,admin.,single,secondary,no,14,yes,yes,19,9,,0,unknown,0
45,technician,single,unknown,no,7108,yes,yes,53,1,172,3,failure,0
36,blue-collar,married,secondary,no,1049,yes,no,224,4,,0,unknown,1
38,blue-collar,married,secondary,no,0,yes,no,57,5,349,1,other,0
36,housemaid,married,secondary,no,419,yes,no,251,1,,0,unknown,0
30,management,single,tertiary,no,726,yes,no,39,1,342,3,failure,0
28,technician,divorced,tertiary,no,594,yes,yes,54,3,,0,unknown,0
26,unemployed,married,tertiary,no,454,yes,yes,28,18,,0,unknown,0
54,unknown,married,secondary,no,2206,no,no,104,1,99,2,other,1
38,admin.,married,tertiary,no,1988,no,no,164,2,130,2,failure,1
32,technician,single,tertiary,no,0,no,no,268,2,,0,unknown,0
50,admin.,divorced,secondary,no,202,no,yes,148,1,,0,unknown,0
43,blue-collar,married,secondary,no,667,yes,no,228,3,,0,unknown,0
48,admin.,married,secondary,no,112,no,no,139,5,,0,unknown,0
57,housemaid,married,primary,no,50,no,no,89,3,,0,unknown,0
64,housemaid,married,primary,no,768,no,no,250,2,182,1,success,0
26,services,divorced,secondary,no,74,yes,no,106,6,,0,unknown,0
33,blue-collar,married,secondary,no,661,yes,no,968,1,,0,unknown,1
50,self-employed,married,secondary,no,3025,no,yes,168,3,,0,unknown,0
47,self-employed,married,tertiary,no,751,no,no,408,14,,0,unknown,0
39,management,single,tertiary,no,416,no,no,56,4,,0,unknown,0
52,services,married,primary,no,14,no,yes,55,5,,0,unknown,0
31,blue-collar,single,primary,no,-502,yes,no,76,4,,0,unknown,0
50,blue-collar,married,primary,no,0,no,no,72,5,,0,unknown,0
47,technician,married,secondary,no,599,yes,no,99,3,,0,unknown,0
30,management,single,tertiary,no,-218,yes,no,13,15,,0,unknown,0
32,technician,single,tertiary,no,1012,no,no,178,1,,0,unknown,0
36,technician,married,secondary,no,300,no,no,287,1,,0,unknown,0
46,technician,married,tertiary,no,217,yes,no,141,1,346,2,other,0
45,management,divorced,tertiary,no,2096,no,no,127,1,100,2,failure,0
37,technician,single,secondary,no,0,no,no,69,2,,0,unknown,0
58,housemaid,married,primary,no,5278,yes,no,763,4,,0,unknown,0
59,management,married,tertiary,no,1831,no,no,122,1,92,1,failure,0
28,management,married,tertiary,no,1480,yes,no,143,1,,0,unknown,0
48,management,married,tertiary,no,7289,yes,no,316,3,,0,unknown,0
55,blue-collar,married,unknown,no,1665,no,no,89,2,,0,unknown,0
37,blue-collar,single,primary,no,851,yes,no,151,1,352,1,failure,0
41,management,married,tertiary,no,2885,no,no,40,1,,0,unknown,0
35,blue-collar,married,secondary,no,137,no,yes,5,1,808,12,failure,0
34,blue-collar,single,secondary,no,1239,yes,no,90,1,,0,unknown,0
43,management,single,tertiary,no,146,no,no,50,1,113,5,other,0
59,technician,married,secondary,no,1,no,no,159,2,378,3,failure,1
50,blue-collar,divorced,primary,no,-10,no,yes,369,6,,0,unknown,0
37,technician,married,secondary,no,480,no,no,344,2,182,8,other,1
35,technician,married,secondary,no,2789,yes,no,256,2,94,1,failure,0
50,technician,single,secondary,no,3897,no,no,298,1,,0,unknown,0
36,technician,divorced,secondary,no,487,no,yes,268,3,,0,unknown,0
41,admin.,married,secondary,no,5110,yes,no,231,1,,0,unknown,0
28,management,married,tertiary,no,318,yes,no,4,4,,0,unknown,0
42,technician,single,tertiary,no,-411,yes,no,78,5,292,3,failure,0
60,retired,married,secondary,no,4820,no,no,419,1,,0,unknown,0
28,management,single,tertiary,no,4937,yes,no,421,3,,0,unknown,0
48,entrepreneur,married,secondary,no,725,no,yes,105,1,,0,unknown,0
51,entrepreneur,married,tertiary,no,5403,no,no,42,1,,0,unknown,0
32,technician,married,tertiary,no,4089,no,no,114,7,287,3,failure,0
35,technician,married,tertiary,no,188,no,no,286,2,,0,unknown,0
37,technician,married,unknown,no,189,no,no,238,1,107,2,success,1
38,blue-collar,divorced,secondary,no,2998,yes,no,91,1,,0,unknown,0
77,retired,married,secondary,no,610,no,no,766,3,,0,unknown,0
32,management,single,unknown,no,787,no,no,92,1,,0,unknown,0
43,technician,divorced,secondary,no,167,no,no,211,3,,0,unknown,0
36,management,single,tertiary,no,243,yes,no,160,2,360,3,failure,0
29,management,married,tertiary,no,877,no,no,166,3,,0,unknown,0
32,admin.,single,secondary,no,2817,yes,no,195,1,,0,unknown,0
41,management,divorced,tertiary,no,4567,yes,yes,106,1,,0,unknown,0
26,services,single,secondary,no,127,yes,yes,85,3,,0,unknown,0
34,blue-collar,married,primary,no,176,no,no,78,1,,0,unknown,0
57,retired,married,tertiary,no,0,yes,yes,648,1,,0,unknown,1
36,services,single,secondary,no,1482,yes,no,177,2,174,1,other,0
42,blue-collar,married,secondary,no,3052,yes,no,32,1,,0,unknown,0
35,technician,divorced,secondary,no,56,no,no,24,12,,0,unknown,0
52,entrepreneur,divorced,primary,no,278,yes,no,688,2,,0,unknown,0
36,management,single,tertiary,no,3875,yes,no,21,5,,0,unknown,0
46,technician,married,secondary,no,-337,yes,no,112,1,,0,unknown,0
60,management,divorced,tertiary,no,366,no,no,593,1,,0,unknown,1
57,housemaid,married,primary,no,501,yes,yes,59,2,,0,unknown,0
48,management,married,tertiary,no,998,yes,no,121,3,,0,unknown,0
59,self-employed,married,primary,no,0,yes,no,97,2,,0,unknown,0
39,management,married,tertiary,no,246,no,no,86,2,,0,unknown,0
44,blue-collar,married,secondary,no,-182,yes,yes,10,10,,0,unknown,0
27,management,single,tertiary,no,446,no,no,205,3,,0,unknown,0
59,retired,married,secondary,no,1173,no,no,77,2,,0,unknown,0
36,technician,divorced,secondary,no,5957,yes,no,138,2,,0,unknown,0
44,admin.,married,secondary,no,205,no,no,289,1,,0,unknown,1
50,admin.,married,secondary,no,0,no,no,86,4,,0,unknown,0
41,management,divorced,tertiary,no,369,yes,no,9,3,,0,unknown,0
47,admin.,married,secondary,no,1934,no,yes,225,1,364,1,failure,0
32,technician,single,tertiary,no,259,no,no,407,4,,0,unknown,0
38,blue-collar,married,secondary,no,284,yes,yes,1030,6,,0,unknown,0
55,blue-collar,married,unknown,no,23,no,no,123,2,,0,unknown,0
38,management,single,tertiary,no,1373,no,no,119,4,,0,unknown,0
31,management,single,tertiary,no,62,yes,no,175,1,293,5,failure,0
38,blue-collar,divorced,secondary,no,157,no,no,299,5,,0,unknown,0
29,unemployed,single,tertiary,no,991,no,no,563,1,,0,unknown,0
55,services,married,secondary,no,186,yes,yes,241,1,,0,unknown,0
35,unemployed,married,secondary,no,977,yes,no,52,4,91,1,other,0
40,self-employed,single,tertiary,no,2893,no,no,76,3,,0,unknown,0
34,blue-collar,married,secondary,no,1897,yes,yes,441,1,,0,unknown,0
32,technician,single,tertiary,no,5514,no,no,319,1,182,1,success,1
33,blue-collar,married,secondary,no,889,yes,no,13,1,373,6,success,0
33,management,married,tertiary,no,273,yes,no,803,1,,0,unknown,1
37,admin.,married,secondary,no,1193,no,no,396,2,,0,unknown,0
58,management,married,tertiary,no,2729,no,no,188,1,,0,unknown,0
36,admin.,single,secondary,no,0,no,no,637,1,,0,unknown,0
42,blue-collar,married,secondary,no,230,yes,no,175,7,,0,unknown,0
34,technician,single,secondary,no,2729,yes,no,945,1,139,1,success,0
35,management,married,tertiary,no,317,yes,no,162,3,,0,unknown,0
60,housemaid,married,primary,no,517,no,no,1178,3,,0,unknown,0
50,management,married,tertiary,no,-470,yes,no,506,2,170,3,failure,0
28,self-employed,single,tertiary,no,4579,no,no,409,2,,0,unknown,1
27,blue-collar,divorced,secondary,no,1,yes,no,116,3,,0,unknown,0
37,management,married,tertiary,no,5106,no,no,244,1,,0,unknown,1
31,technician,married,tertiary,no,636,yes,no,352,4,,0,unknown,1
34,services,married,secondary,no,1076,no,no,152,1,182,6,success,1
38,management,married,tertiary,no,126,yes,no,164,2,,0,unknown,0
32,self-employed,married,secondary,no,-33,yes,no,234,3,,0,unknown,0
37,technician,married,secondary,no,430,no,no,154,4,,0,unknown,0
33,admin.,married,secondary,no,-6,yes,no,566,2,,0,unknown,0
71,technician,married,tertiary,no,383,no,no,327,2,183,3,success,0
27,technician,married,secondary,no,130,yes,no,265,3,,0,unknown,0
38,blue-collar,married,primary,no,2569,no,no,172,1,,0,unknown,0
34,technician,single,secondary,no,201,no,no,257,2,,0,unknown,0
54,retired,divorced,tertiary,no,0,no,no,618,1,,0,unknown,1
30,blue-collar,married,secondary,no,6,yes,no,241,3,,0,unknown,0
35,entrepreneur,single,secondary,no,475,no,yes,936,4,,0,unknown,0
33,blue-collar,single,secondary,no,706,yes,no,329,1,322,1,failure,0
36,management,married,secondary,no,1825,yes,no,24,1,346,1,failure,0
59,self-employed,married,tertiary,no,185,no,no,177,5,138,1,failure,0
72,blue-collar,married,primary,no,4415,no,no,120,1,,0,unknown,0
64,management,married,tertiary,no,679,no,no,135,3,,0,unknown,0
53,technician,divorced,secondary,no,320,no,no,175,1,,0,unknown,0
35,management,single,tertiary,no,2988,yes,no,179,1,,0,unknown,0
58,self-employed,married,secondary,no,1407,yes,no,58,1,,0,unknown,0
40,technician,married,secondary,no,1270,no,no,342,2,,0,unknown,0
41,services,divorced,secondary,no,654,yes,no,139,2,,0,unknown,0
48,retired,married,primary,no,5173,yes,no,88,8,,0,unknown,0
44,entrepreneur,married,tertiary,no,3463,yes,yes,210,3,,0,unknown,0
39,blue-collar,married,unknown,no,0,no,no,731,1,193,3,failure,0
61,management,married,tertiary,no,6016,no,no,670,3,,0,unknown,1
36,entrepreneur,married,primary,no,177,yes,no,63,5,,0,unknown,0
28,management,married,tertiary,no,3694,no,yes,70,2,,0,unknown,0
58,retired,single,secondary,no,1640,no,yes,72,6,274,4,failure,0
60,admin.,divorced,secondary,no,174,yes,no,241,1,364,1,failure,0
66,admin.,single,secondary,no,10177,no,no,272,4,,0,unknown,0
36,management,single,tertiary,no,490,no,no,207,8,98,1,failure,1
49,self-employed,married,secondary,no,2576,yes,no,64,6,,0,unknown,0
40,services,married,secondary,no,0,no,no,543,2,,0,unknown,0
23,technician,single,secondary,no,598,no,no,166,1,,0,unknown,0
29,management,single,tertiary,no,15459,no,no,245,3,97,7,success,0
44,blue-collar,married,primary,no,271,yes,yes,94,1,,0,unknown,0
54,unknown,married,unknown,no,2508,no,no,34,8,,0,unknown,0
47,blue-collar,married,primary,no,320,no,no,203,2,,0,unknown,0
33,admin.,married,tertiary,no,640,no,no,318,1,,0,unknown,0
30,self-employed,married,secondary,no,1772,yes,no,158,4,,0,unknown,0
27,admin.,single,secondary,no,15,no,yes,177,1,,0,unknown,0
49,management,divorced,tertiary,no,2370,yes,yes,56,1,103,2,other,0
27,services,single,secondary,no,201,yes,no,172,2,,0,unknown,0
51,blue-collar,married,secondary,no,160,yes,no,136,1,359,1,failure,0
32,admin.,divorced,secondary,yes,5,yes,yes,82,3,363,2,other,0
30,blue-collar,single,secondary,no,75,yes,no,123,1,,0,unknown,0
33,admin.,married,secondary,no,4902,yes,no,110,1,,0,unknown,0
27,blue-collar,single,primary,no,-79,yes,no,385,5,,0,unknown,0
75,retired,divorced,secondary,no,1341,no,no,415,7,,0,unknown,1
37,services,divorced,secondary,no,490,yes,no,73,1,,0,unknown,0
36,technician,single,secondary,no,1521,yes,no,243,2,,0,unknown,0
37,blue-collar,married,secondary,no,131,yes,no,137,2,,0,unknown,0
35,management,married,tertiary,no,8,yes,no,55,4,,0,unknown,0
32,services,married,secondary,no,-632,yes,yes,18,5,,0,unknown,0
32,admin.,single,secondary,no,116,no,yes,255,2,,0,unknown,0
35,admin.,married,primary,no,189,yes,no,95,1,,0,unknown,0
31,blue-collar,married,primary,no,2,yes,yes,112,1,,0,unknown,0
28,blue-collar,single,secondary,no,4229,yes,yes,205,2,,0,unknown,0
27,services,married,secondary,no,54,yes,no,97,1,370,1,failure,0
22,student,single,unknown,no,549,no,no,154,1,,0,unknown,0
35,blue-collar,married,primary,no,298,yes,no,135,2,370,2,failure,0
69,retired,married,primary,no,579,no,no,230,1,,0,unknown,0
37,entrepreneur,single,tertiary,no,1467,yes,yes,349,1,,0,unknown,0
45,admin.,single,secondary,no,0,yes,no,38,1,,0,unknown,0
47,management,married,tertiary,no,109,yes,no,268,1,,0,unknown,0
52,management,married,tertiary,no,-11,yes,no,94,4,,0,unknown,0
33,services,married,secondary,no,90,yes,no,263,2,,0,unknown,0
60,blue-collar,married,primary,no,493,no,no,671,4,,0,unknown,1
33,management,divorced,secondary,no,1897,yes,yes,197,1,,0,unknown,0
44,admin.,married,secondary,no,2403,yes,no,180,2,,0,unknown,0
38,entrepreneur,married,secondary,no,868,no,no,452,2,,0,unknown,0
54,entrepreneur,married,secondary,no,653,yes,no,352,1,,0,unknown,0
32,unemployed,divorced,primary,no,0,no,no,175,4,,0,unknown,0
33,technician,married,secondary,no,0,yes,yes,163,2,,0,unknown,0
55,services,divorced,secondary,no,218,yes,no,200,2,,0,unknown,0
51,blue-collar,married,primary,no,5050,no,yes,75,7,,0,unknown,0
48,blue-collar,married,secondary,no,741,yes,no,227,1,,0,unknown,0
37,services,single,secondary,no,1050,yes,no,586,3,,0,unknown,0
33,services,single,secondary,no,-56,no,yes,119,5,,0,unknown,0
30,blue-collar,married,primary,no,1,yes,yes,80,2,,0,unknown,0
43,blue-collar,married,primary,no,-98,yes,yes,112,2,330,3,other,0
49,technician,married,secondary,no,4667,yes,no,130,2,,0,unknown,0
54,unemployed,married,primary,no,541,yes,no,237,3,,0,unknown,0
31,unemployed,married,tertiary,no,7744,no,no,377,8,,0,unknown,0
54,unknown,married,unknown,no,895,no,no,335,1,,0,unknown,1
36,unemployed,married,secondary,no,-129,yes,no,121,3,,0,unknown,0
30,admin.,married,secondary,no,0,no,no,127,5,,0,unknown,0
27,technician,single,secondary,no,158,no,no,650,2,,0,unknown,1
30,admin.,married,secondary,no,122,yes,no,107,1,,0,unknown,0
30,blue-collar,married,secondary,no,673,yes,no,610,2,,0,unknown,0
35,technician,divorced,secondary,no,0,no,no,124,4,,0,unknown,0
33,services,divorced,secondary,no,411,yes,no,216,1,,0,unknown,0
43,blue-collar,divorced,primary,no,-97,yes,yes,747,4,,0,unknown,0
41,blue-collar,married,secondary,no,-217,yes,no,313,1,349,3,other,0
41,management,divorced,tertiary,no,5037,no,no,252,9,185,5,other,1
46,admin.,divorced,secondary,no,2232,no,no,121,1,,0,unknown,1
54,blue-collar,married,secondary,no,-932,yes,no,799,1,,0,unknown,0
32,management,married,tertiary,no,913,yes,no,883,1,674,4,failure,0
30,technician,single,tertiary,no,236,yes,no,197,1,,0,unknown,0
40,entrepreneur,married,primary,no,0,yes,no,271,2,,0,unknown,0
30,blue-collar,married,primary,no,2581,no,no,221,2,,0,unknown,0
27,admin.,married,secondary,no,639,no,yes,243,3,,0,unknown,0
41,blue-collar,married,primary,no,849,yes,no,72,1,,0,unknown,0
54,services,married,secondary,no,386,yes,no,155,2,,0,unknown,0
32,management,single,tertiary,no,1218,yes,no,70,2,,0,unknown,0
31,management,married,tertiary,no,2603,yes,no,280,4,,0,unknown,1
42,blue-collar,married,secondary,no,-921,yes,no,115,2,,0,unknown,0
48,admin.,married,primary,no,607,no,no,29,2,,0,unknown,0
34,blue-collar,married,primary,no,79,yes,no,406,2,,0,unknown,0
55,technician,divorced,secondary,no,61,yes,yes,113,3,,0,unknown,0
49,technician,married,secondary,no,1091,no,no,47,2,,0,unknown,0
46,management,divorced,tertiary,no,743,no,no,36,2,,0,unknown,0
47,entrepreneur,married,unknown,no,209,yes,no,135,2,,0,unknown,0
24,management,single,tertiary,no,172,no,no,67,2,,0,unknown,0
58,entrepreneur,married,secondary,no,2,no,no,684,1,,0,unknown,0
32,management,single,tertiary,no,41,no,no,686,5,,0,unknown,1
25,student,single,secondary,no,1116,yes,no,170,3,,0,unknown,0
49,blue-collar,married,secondary,no,-55,no,no,150,3,,0,unknown,0
59,retired,divorced,secondary,no,5845,no,no,1060,2,,0,unknown,1
30,management,single,tertiary,no,329,yes,no,122,16,,0,unknown,0
46,blue-collar,married,secondary,no,494,yes,no,724,1,,0,unknown,0
42,management,married,unknown,no,1519,no,no,230,1,92,1,success,1
37,entrepreneur,married,tertiary,no,2685,no,no,187,2,,0,unknown,0
44,blue-collar,married,primary,no,-14,yes,yes,179,4,,0,unknown,0
49,services,married,secondary,no,5673,no,yes,357,3,,0,unknown,0
41,blue-collar,married,secondary,no,1459,no,no,82,1,,0,unknown,0
48,technician,married,tertiary,no,0,no,no,176,15,,0,unknown,0
31,management,married,secondary,no,625,yes,no,424,1,138,1,failure,0
37,student,married,unknown,no,0,no,no,115,1,,0,unknown,0
51,services,married,secondary,no,867,yes,no,177,2,211,3,failure,0
80,retired,married,secondary,no,8304,no,no,712,1,64,12,failure,1
32,management,single,tertiary,no,151,yes,no,118,1,,0,unknown,0
48,services,married,primary,yes,-583,yes,no,25,7,,0,unknown,0
49,blue-collar,married,tertiary,no,1784,no,no,753,1,,0,unknown,0
30,management,married,tertiary,no,3134,yes,no,124,1,,0,unknown,0
27,self-employed,single,secondary,no,49,yes,no,208,2,,0,unknown,0
34,technician,married,secondary,no,-346,no,no,136,4,,0,unknown,0
49,management,married,secondary,no,1623,yes,no,1081,2,,0,unknown,1
48,management,married,tertiary,no,60,no,no,376,2,339,7,failure,0
40,services,married,secondary,no,17,no,no,78,1,,0,unknown,0
38,blue-collar,married,secondary,no,2008,yes,no,354,1,,0,unknown,0
46,blue-collar,married,primary,no,91,yes,no,29,1,356,2,failure,0
41,entrepreneur,married,tertiary,no,171,yes,no,209,1,191,4,failure,0
28,management,single,tertiary,no,1027,yes,no,433,1,,0,unknown,0
51,services,married,unknown,no,5801,yes,no,147,2,,0,unknown,0
33,blue-collar,divorced,primary,no,142,yes,no,41,2,300,5,failure,0
26,management,single,tertiary,no,205,no,no,111,1,,0,unknown,0
34,admin.,single,secondary,no,852,no,no,108,2,,0,unknown,0
27,blue-collar,married,secondary,yes,-584,yes,no,411,2,,0,unknown,0
42,self-employed,married,secondary,no,97,no,no,108,2,,0,unknown,0
45,admin.,married,secondary,no,204,yes,no,224,2,,0,unknown,1
31,technician,single,secondary,no,628,yes,no,1083,2,,0,unknown,0
32,management,single,tertiary,no,311,no,no,757,2,,0,unknown,1
39,blue-collar,married,primary,no,1564,no,no,57,1,,0,unknown,0
26,blue-collar,single,secondary,no,856,yes,yes,95,5,,0,unknown,0
40,management,single,tertiary,no,1509,no,no,144,2,124,1,failure,0
52,services,married,secondary,no,-888,no,no,135,1,,0,unknown,0
40,technician,single,tertiary,no,226,no,no,176,2,,0,unknown,0
48,technician,married,secondary,no,127,no,yes,524,5,,0,unknown,0
31,services,married,secondary,no,413,yes,no,65,1,,0,unknown,0
27,admin.,married,secondary,no,710,yes,yes,653,1,334,2,success,1
47,technician,married,secondary,no,1233,yes,no,91,1,100,2,other,1
28,management,single,secondary,no,171,no,no,93,1,,0,unknown,1
40,management,divorced,tertiary,no,69,yes,no,503,2,280,2,failure,0
34,admin.,married,secondary,no,1499,yes,no,186,1,327,2,failure,0
29,self-employed,married,tertiary,no,751,yes,no,121,2,,0,unknown,0
36,management,married,tertiary,no,61,no,yes,452,2,,0,unknown,0
83,retired,married,primary,no,425,no,no,883,1,140,1,failure,1
55,services,divorced,primary,no,2923,yes,no,104,2,,0,unknown,0
43,management,divorced,tertiary,no,99,no,no,24,3,,0,unknown,0
23,student,single,secondary,no,1021,no,no,79,9,,0,unknown,0
44,technician,married,tertiary,no,1146,no,no,178,2,,0,unknown,0
